Type,Generation Description 1,Generation Description 2,Generation Description 3,Generation Description 4,Generation Description 5,Generation Description 6,Positive Value Examples,Negative Value Examples,Positive Header Examples,Negative Header Examples
TransactionID,"A unique transaction identifier that enables tracking and referencing of individual financial transactions across banking systems.","This type captures a unique transaction identifier used for transactional tracking purposes across systems. It must begin with the literal prefix 'TX' and be followed by exactly six numerical digits.","This type captures a unique transaction identifier used for transactional tracking purposes across systems. It must begin with the literal prefix 'TX' and be followed by exactly six numerical digits. Examples: TX000001, TX000201.","A string that strictly matches the pattern TX\d{6}, where 'TX' is a constant prefix and is followed by exactly six digits (0–9), with no spaces or symbols. Examples: TX000001, TX000201.","Transaction Reference: TX + 6 digits","Transaction Reference: TX + 6 digits",TX000001; TX000201; TX055501,TX00000; UX000001; T124,Transaction ID; TX Reference,User ID; Transaction Date
TransactionAmount,"The monetary value involved in a financial transaction, representing the amount being transferred, debited, or credited.","This represents a decimal number indicating the financial value of a transaction in the system's base currency. Values can include whole numbers or decimals with up to two decimal places for cents representation.","This represents a decimal number indicating the financial value of a transaction in the system's base currency. Values can include whole numbers or decimals with up to two decimal places for cents representation. Examples: 376.24, 1.2.","The amount follows the pattern \d+(\.\d{1,2})? representing positive numbers with optional decimal places up to two digits for currency precision. Examples: 376.24, 1.2.","Transaction Value: decimal amount in base currency","Transaction Value: decimal amount in base currency",376.24; 1.2; 521353.2,XC00128; 14D; YY,Transaction Amount; Amount (USD),Transaction Date; Balance
TransactionDate,"The date and time when a financial transaction occurred, used for chronological tracking and reporting purposes.","This captures the exact timestamp when a transaction was processed, formatted as a complete date-time string. The format includes month, day, year, and precise time with hours, minutes, and seconds.","This captures the exact timestamp when a transaction was processed, formatted as a complete date-time string. The format includes month, day, year, and precise time with hours, minutes, and seconds. Examples: 4/11/2023 16:29:14, 2023-05-11 11:29:14.","The timestamp follows patterns like \d{1,2}/\d{1,2}/\d{4} \d{1,2}:\d{2}:\d{2} or \d{4}-\d{2}-\d{2} \d{1,2}:\d{2}:\d{2} for complete date-time representation. Examples: 4/11/2023 16:29:14, 2023-05-11 11:29:14.","Processing Timestamp: complete date and time of transaction execution","Processing Timestamp: complete date and time of transaction execution",4/11/2023 16:29:14; 2023-05-11 11:29:14; 2000-05-01 11:29:14,Wednesday; January; 1,Transaction Date; Txn Timestamp,Transaction ID; Date Created
AccountBalance,"The current monetary balance in the customer's account at the time of the transaction, expressed in the account's base currency.","This represents the account's available funds as a decimal value that can include whole numbers and fractional amounts for precise currency representation. The balance reflects the net position after all previous transactions have been processed.","This represents the account's available funds as a decimal value that can include whole numbers and fractional amounts for precise currency representation. The balance reflects the net position after all previous transactions have been processed. Examples: 124.2, 345235.6.","The balance follows the pattern \d+(\.\d{1,2})? representing positive monetary amounts with optional decimal precision up to two places. Examples: 124.2, 345235.6.","Available Funds: current account balance amount","Available Funds: current account balance amount",124.2; 345235.6; 3533.3 ,Tom; Negative; Monday,Account Balance; Current Balance,Balance Change; Credit Limit
AccountOpeningDate,"The date when the customer's account was first established with the financial institution.","This field records the original account creation date using various datetime formats that include the complete date information. It serves as a reference point for calculating account tenure and relationship duration with the bank.","This field records the original account creation date using various datetime formats that include the complete date information. It serves as a reference point for calculating account tenure and relationship duration with the bank. Examples: 4/11/2023 16:29:14, 2023-05-11.","The opening date accepts multiple patterns like \d{1,2}/\d{1,2}/\d{4}( \d{1,2}:\d{2}:\d{2})? or \d{4}-\d{2}-\d{2} for flexible date representation. Examples: 4/11/2023 16:29:14, 2023-05-11.","Account Creation: original establishment date","Account Creation: original establishment date",4/11/2023 16:29:14; 2023-05-11; 11:29:14 2000-05-01; 4/11/2023,Wednesday; January; 1,Account Opening Date; Account Start Date,Opening Balance Date; Account Closing Date
AccountType,"The category of banking account that defines the product features and terms governing the customer relationship.","This field specifies the account product type using standard banking terminology that indicates the account's purpose and operational characteristics. It determines the available services, interest rates, and regulatory treatment applicable to the account.","This field specifies the account product type using standard banking terminology that indicates the account's purpose and operational characteristics. It determines the available services, interest rates, and regulatory treatment applicable to the account. Examples: Savings, Checkings.","The account type follows a pattern like (Savings|Checkings|Current|Investment|Business) representing standard banking product categories. Examples: Savings, Checkings.","Account Product: savings, checking, or business classification","Account Product: savings, checking, or business classification",Savings; Checkings; Current ,Monday; Apple; Transaction ,Account Type; Account Category,Transaction Type; Portfolio Type
AccountBalanceAfterTransaction,"The resulting account balance immediately following the completion of the current transaction.","This field shows the updated balance that reflects the impact of the current transaction on the account's available funds. It represents the new balance state after the transaction amount has been applied according to the transaction type.","This field shows the updated balance that reflects the impact of the current transaction on the account's available funds. It represents the new balance state after the transaction amount has been applied according to the transaction type. Examples: 124.2, 345235.6.","The post-transaction balance follows the pattern \d+(\.\d{1,2})? representing the updated monetary amount with decimal precision. Examples: 124.2, 345235.6.","Updated Balance: account funds after transaction completion","Updated Balance: account funds after transaction completion",124.2; 345235.6; 3533.3 ,Tom; Negative; Monday,Balance After Transaction; Post‑Txn Balance,Pre‑Txn Balance; Transaction Balance
BranchID,"A numeric identifier that uniquely represents a specific bank branch or service location within the financial institution's network.","This field contains a positive integer that serves as an internal reference code for identifying specific branch locations. The identifier is used to track which physical or virtual branch processed the transaction or maintains the account relationship.","This field contains a positive integer that serves as an internal reference code for identifying specific branch locations. The identifier is used to track which physical or virtual branch processed the transaction or maintains the account relationship. Examples: 2, 56.","The branch identifier follows the pattern \d+ representing a positive integer used for internal branch tracking systems. Examples: 2, 56.","Branch Reference: numeric location identifier","Branch Reference: numeric location identifier",2; 56; 124 ,0; -1; ACD,Branch ID; Branch Code,Office ID; Location ID
LoanID,"A unique numeric identifier assigned to a specific loan product or credit facility extended to a customer.","This field contains a positive integer that serves as the primary reference for tracking individual loan accounts and their associated transactions. It enables linkage between loan payments, balances, and customer records within the lending system.","This field contains a positive integer that serves as the primary reference for tracking individual loan accounts and their associated transactions. It enables linkage between loan payments, balances, and customer records within the lending system. Examples: 2, 56.","The loan identifier follows the pattern \d+ representing a positive integer for loan account tracking purposes. Examples: 2, 56.","Credit Reference: numeric loan account identifier","Credit Reference: numeric loan account identifier",2; 56; 124 ,0; -1; ACD,Loan ID; Loan Reference,Loan Amount; Customer ID
LoanAmount,"The principal amount of money borrowed by the customer as part of a loan agreement.","This field represents the original loan principal expressed as a decimal value in the institution's base currency. It reflects the total amount disbursed to the customer before interest, fees, or repayments are considered.","This field represents the original loan principal expressed as a decimal value in the institution's base currency. It reflects the total amount disbursed to the customer before interest, fees, or repayments are considered. Examples: 124.2, 345235.6.","The loan principal follows the pattern \d+(\.\d{1,2})? representing positive monetary amounts with optional decimal precision for currency values. Examples: 124.2, 345235.6.","Principal Amount: original borrowed sum","Principal Amount: original borrowed sum",124.2; 345235.6; 3533.3 ,-15.0; Negative; Monday,Loan Amount; Principal Amount,Interest Rate; Balance
