Type,Generation Description 1,Generation Description 2,Generation Description 3,Generation Description 4,Generation Description 5,Generation Description 6,Positive Value Examples,Negative Value Examples,Positive Header Examples,Negative Header Examples
AIRLINE.IATA_CODE,"An official two-letter airline designation code assigned by IATA to identify commercial carriers in global aviation systems.","This type captures standardized airline identification codes used throughout the aviation industry for booking systems and flight operations. Each code consists of exactly two uppercase letters with no numeric digits, punctuation, or spacing allowed.","This type captures standardized airline identification codes used throughout the aviation industry for booking systems and flight operations. Each code consists of exactly two uppercase letters with no numeric digits, punctuation, or spacing allowed.","A text field containing airline codes that follow the pattern ^[A-Z]{2}$ where exactly two uppercase alphabetic characters represent the carrier. Each code consists of exactly two uppercase letters with no numeric digits, punctuation, or spacing allowed.","airline_code: two uppercase letters for carrier identification","airline_code: two uppercase letters for carrier identification",AA; DL; UA,American Airlines; 123; DELTA,Airline Code; IATA Code; Carrier,Airline Name; Flight Number; Airport Code
AIRLINE.TEXT_EN,"The full commercial name of an airline company as used in business operations and customer-facing communications.","This represents the complete legal or trading name of an airline carrier as it appears in official documentation and marketing materials. The name typically includes descriptive words like 'Airlines', 'Airways', or 'Air Lines' and may contain spaces and punctuation.","This represents the complete legal or trading name of an airline carrier as it appears in official documentation and marketing materials. The name typically includes descriptive words like 'Airlines', 'Airways', or 'Air Lines' and may contain spaces and punctuation.","A text string that may include letters, spaces, and common punctuation marks, typically ending with airline-specific suffixes.","Airline Company: full name of commercial carrier","Airline Company: full name of commercial carrier",American Airlines; Delta Air Lines; United Airlines,AA; DL; Flight 123,Airline Name; Carrier Name; Airline Company,Airline Code; Flight Number; Aircraft Type
AIRPORT_CODE.IATA,"A three-character airport identifier assigned by the International Air Transport Association to uniquely identify commercial airports worldwide.","This code consists of exactly three uppercase alphabetic characters that serve as the universal identifier for airports in airline ticketing and flight operations. The code contains only letters with no numbers, spaces, or punctuation marks.","This code consists of exactly three uppercase alphabetic characters that serve as the universal identifier for airports in airline ticketing and flight operations. The code contains only letters with no numbers, spaces, or punctuation marks.","A string following the pattern ^[A-Z]{3}$ consisting of exactly three consecutive uppercase letters with no additional characters.","Airport ID: three-letter destination code","Airport ID: three-letter destination code",JFK; LAX; ORD,New York; Los Angeles Airport; 123,Airport Code; IATA Code; Airport,Airport Name; City; Airline Code
CHECKDIGIT.ABA,"A nine-digit bank routing number used in the United States to identify financial institutions for electronic transactions and check processing.","This identifier consists of exactly nine numeric digits that uniquely identify a US bank or credit union for automated clearing house transactions. The number includes a mathematical checksum for validation and contains no letters, spaces, or special characters.","This identifier consists of exactly nine numeric digits that uniquely identify a US bank or credit union for automated clearing house transactions. The number includes a mathematical checksum for validation and contains no letters, spaces, or special characters.","A numeric string matching the pattern ^\d{9}$ consisting of exactly nine consecutive digits with embedded checksum validation.","Bank Routing Number: nine-digit institution identifier","Bank Routing Number: nine-digit institution identifier",021000021; 011401533; 053000196,1234567890; SWIFT123; Account123,ABA Number; Routing Number; RTN,Account Number; Bank Name; SWIFT Code
CHECKDIGIT.CUSIP,"A nine-character alphanumeric identifier used to uniquely identify North American securities for trading and settlement purposes.","This security identifier consists of eight alphanumeric characters followed by a single check digit for validation purposes. The code uses uppercase letters and numbers with no spaces, hyphens, or other punctuation marks.","This security identifier consists of eight alphanumeric characters followed by a single check digit for validation purposes. The code uses uppercase letters and numbers with no spaces, hyphens, or other punctuation marks.","An alphanumeric string following the pattern ^[0-9A-Z]{8}[0-9]$ with eight characters (letters/numbers) plus one numeric check digit.","Security Code: nine-character financial instrument ID","Security Code: nine-character financial instrument ID",037833100; 30303M102; 594918104,AAPL; US1234567890; 123456,CUSIP; Security ID; CUSIP Code,Ticker Symbol; Company Name; Stock Price
CHECKDIGIT.EAN13,"A thirteen-digit barcode identifier used globally for product identification and retail inventory management systems.","This barcode consists of exactly thirteen numeric digits including a calculated check digit for error detection and validation. The identifier contains only numbers with no letters, spaces, hyphens, or other formatting characters.","This barcode consists of exactly thirteen numeric digits including a calculated check digit for error detection and validation. The identifier contains only numbers with no letters, spaces, hyphens, or other formatting characters.","A numeric string matching the pattern ^\d{13}$ consisting of exactly thirteen consecutive digits with an embedded checksum algorithm.","Product Barcode: thirteen-digit global trade item number","Product Barcode: thirteen-digit global trade item number",9781234567897; 4006381333931; 5901234123457,978123456789; 12345; ISBN-10,EAN13; Barcode; ISBN-13,Product Name; Price; UPC Code
CHECKDIGIT.IBAN,"An internationally standardized bank account number used for cross-border payments and account identification within European and other participating countries.","This account number begins with a two-letter country code followed by two check digits and up to thirty additional alphanumeric characters representing the domestic bank account. The format varies by country but always includes validation digits and contains no spaces or punctuation.","This account number begins with a two-letter country code followed by two check digits and up to thirty additional alphanumeric characters representing the domestic bank account. The format varies by country but always includes validation digits and contains no spaces or punctuation.","An alphanumeric string following the pattern ^[A-Z]{2}\d{2}[A-Z0-9]+$ starting with country code, check digits, and bank-specific characters.","International Account: standardized cross-border bank identifier","International Account: standardized cross-border bank identifier",GB82WEST12345698765432; DE89370400440532013000; FR1420041010050500013M02606,1234567890; US12345678901234567890; Account123,IBAN; Bank Account; International Account,Account Number; Bank Name; Country Code
CHECKDIGIT.ISBN,"A thirteen-digit book identifier with hyphen separators used by publishers and retailers for cataloging and inventory management of published works.","This identifier consists of thirteen digits arranged in five groups separated by hyphens, including prefix, country/language group, publisher, title number, and check digit. The format follows international standards with consistent hyphenation patterns based on registration groups.","This identifier consists of thirteen digits arranged in five groups separated by hyphens, including prefix, country/language group, publisher, title number, and check digit. The format follows international standards with consistent hyphenation patterns based on registration groups.","A hyphenated numeric string matching the pattern ^97[89]-\d+-\d+-\d+-\d$ with specific grouping rules for international book identification.","Book ISBN: hyphenated thirteen-digit publication identifier","Book ISBN: hyphenated thirteen-digit publication identifier",978-0-123456-78-9; 979-1-234567-89-0; 978-3-16-148410-0,9781234567897; 0123456789; Book123,ISBN; Book ISBN; ISBN-13,Book Title; Author; Publication Year
CHECKDIGIT.ISIN,"A twelve-character alphanumeric code that uniquely identifies securities such as stocks, bonds, and derivatives in global financial markets.","This identifier begins with a two-letter country code followed by a nine-character national security identifier and concludes with a single check digit. The code uses uppercase letters and numbers without spaces, hyphens, or other punctuation marks.","This identifier begins with a two-letter country code followed by a nine-character national security identifier and concludes with a single check digit. The code uses uppercase letters and numbers without spaces, hyphens, or other punctuation marks.","An alphanumeric string following the pattern ^[A-Z]{2}[A-Z0-9]{9}\d$ with country prefix, security identifier, and validation digit.","Security Identifier: twelve-character international instrument code","Security Identifier: twelve-character international instrument code",US0378331005; GB0002634946; DE0005140008,AAPL; 123456789012; US037833100,ISIN; Security ISIN; International Security ID,Company Name; Ticker Symbol; Stock Price
CHECKDIGIT.LUHN,"A numeric identifier that uses the Luhn algorithm for validation, commonly found in credit card numbers, device identifiers, and other financial instruments.","This identifier consists of a sequence of digits where the final digit serves as a checksum calculated using the Luhn mathematical algorithm for error detection. The number contains only numeric digits with no letters, spaces, or special formatting characters.","This identifier consists of a sequence of digits where the final digit serves as a checksum calculated using the Luhn mathematical algorithm for error detection. The number contains only numeric digits with no letters, spaces, or special formatting characters.","A numeric string following the pattern ^\d+$ where the last digit validates the entire sequence using modulo-10 checksum calculation.","Payment Card: digit sequence with validation checksum","Payment Card: digit sequence with validation checksum",4111111111111111; 5555555555554444; 378282246310005,1234567890123456; 0000000000000000; CreditCard123,Credit Card Number; Card Number; IMEI,Card Type; Cardholder Name; Expiration Date
