Type,Generation Description 1,Generation Description 2,Generation Description 3,Generation Description 4,Generation Description 5,Generation Description 6,Positive Value Examples,Negative Value Examples,Positive Header Examples,Negative Header Examples
ID,"A unique identifier assigned to each insurance contract or policy for tracking and reference purposes within the system.","This type represents a sequential numeric identifier used to uniquely distinguish individual insurance contracts within the database. The identifier consists entirely of positive whole numbers with no letters, symbols, or decimal points.","This type represents a sequential numeric identifier used to uniquely distinguish individual insurance contracts within the database. The identifier consists entirely of positive whole numbers with no letters, symbols, or decimal points.","A numeric string that matches the pattern ^[1-9]\d*$, representing positive integers without leading zeros or decimal components.","policy_number: positive whole number identifier","policy_number: positive whole number identifier",124; 3534; 3523,-1; 0.0; Monday,contract_id; policy_contract_number,contract_date; agent_id
Date_start_contract,"The official date when an insurance policy becomes active and coverage begins for the insured party.","This type captures the effective start date of an insurance contract in various standard date formats. The date must represent a valid calendar date and can include both date and time components depending on system requirements.","This type captures the effective start date of an insurance contract in various standard date formats. The date must represent a valid calendar date and can include both date and time components depending on system requirements.","A date string following patterns like ^\d{1,2}/\d{1,2}/\d{4}(\s\d{1,2}:\d{2}:\d{2})?$ or ^\d{4}-\d{2}-\d{2}$ for various date and datetime formats.","effective_date: when policy coverage starts","effective_date: when policy coverage starts",4/11/2023 16:29:14; 2023-05-11; 11:29:14 2000-05-01; 4/11/2023,Wednesday; January; 1,policy_start_date; contract_effective_date,transaction_date; birth_date
Date_last_renewal,"The most recent date when an existing insurance policy was renewed or extended for another coverage period.","This type identifies the timestamp of the most recent policy renewal transaction within the insurance system. The value represents a complete date that marks when the last renewal process was completed successfully.","This type identifies the timestamp of the most recent policy renewal transaction within the insurance system. The value represents a complete date that marks when the last renewal process was completed successfully.","A date value matching standard formats such as ^\d{1,2}/\d{1,2}/\d{4}(\s\d{1,2}:\d{2}:\d{2})?$ indicating when the policy was last renewed.","renewal_completed_date: last time policy was renewed","renewal_completed_date: last time policy was renewed",4/11/2023 16:29:14; 2023-05-11; 11:29:14 2000-05-01; 4/11/2023,Wednesday; January; 1,last_renewal_date; renewal_effective_date,next_renewal_date; claim_date
Date_next_renewal,"The scheduled future date when the current insurance policy is set to expire and requires renewal.","This type specifies the upcoming renewal deadline for an active insurance policy in standard date format. The date represents when the current coverage period ends and renewal action is required.","This type specifies the upcoming renewal deadline for an active insurance policy in standard date format. The date represents when the current coverage period ends and renewal action is required.","A future date following formats like ^\d{1,2}/\d{1,2}/\d{4}(\s\d{1,2}:\d{2}:\d{2})?$ marking the scheduled renewal date.","expiration_date: when current policy ends","expiration_date: when current policy ends",4/11/2023 16:29:14; 2023-05-11; 11:29:14 2000-05-01; 4/11/2023,Wednesday; January; 1,next_renewal_date ; scheduled_renewal_date,last_renewal_date ; policy_issue_date
Distribution_channel,"A coded identifier representing the sales channel or method through which the insurance policy was acquired.","This type captures the distribution method used to sell the insurance product using numeric channel codes. The value indicates whether the policy was sold through direct sales, brokers, agents, or other distribution networks.","This type captures the distribution method used to sell the insurance product using numeric channel codes. The value indicates whether the policy was sold through direct sales, brokers, agents, or other distribution networks.","An integer value matching the pattern ^[01]$ representing different sales channels where 0 and 1 denote specific distribution methods.","sales_channel: how policy was sold","sales_channel: how policy was sold",0; 1 ,None; -1; 0.0,distribution_channel ; sales_channel_code,channel_name ; payment_channel
Date_birth,"The birth date of the primary policyholder or insured individual associated with the insurance contract.","This type records the date of birth for the person who holds the insurance policy in various accepted date formats. The information is essential for age verification and risk assessment calculations.","This type records the date of birth for the person who holds the insurance policy in various accepted date formats. The information is essential for age verification and risk assessment calculations.","A birth date string conforming to patterns like ^\d{1,2}/\d{1,2}/\d{4}(\s\d{1,2}:\d{2}:\d{2})?$ or similar date formats.","customer_birthdate: when policyholder was born","customer_birthdate: when policyholder was born",4/11/2023 16:29:14; 2023-05-11; 11:29:14 2000-05-01; 4/11/2023,Wednesday; January; 1,date_of_birth ; dob,policy_start_date ; license_issue_date
Date_driving_licence,"The date when the policyholder's driving license was first issued or obtained from the licensing authority.","This type stores the original issuance date of the driver's license for the insured person in standard date format. The date is used to calculate driving experience and assess insurance risk factors.","This type stores the original issuance date of the driver's license for the insured person in standard date format. The date is used to calculate driving experience and assess insurance risk factors.","A license issue date following standard date patterns such as ^\d{1,2}/\d{1,2}/\d{4}(\s\d{1,2}:\d{2}:\d{2})?$ for tracking driver experience.","license_first_issued: when driver got licensed","license_first_issued: when driver got licensed",4/11/2023 16:29:14; 2023-05-11; 11:29:14 2000-05-01; 4/11/2023,Wednesday; January; 1,license_issue_date ; driver_license_date,license_number ; birth_date
Seniority,"The number of years a customer has maintained an active relationship with the insurance company.","This type represents the customer tenure duration measured in whole years from their first policy activation. The value indicates loyalty and experience level with the insurance provider for risk assessment purposes.","This type represents the customer tenure duration measured in whole years from their first policy activation. The value indicates loyalty and experience level with the insurance provider for risk assessment purposes.","A positive integer matching the pattern ^[1-9]\d*$ representing complete years of customer relationship with the company.","customer_loyalty_years: how long with company","customer_loyalty_years: how long with company",1; 4; 20,-1; 5.5; 21 ,customer_tenure_years ; policyholder_seniority,vehicle_age ; policy_length
Policies_in_force,"The current number of active insurance policies held by a customer at a given point in time.","This type counts the total number of insurance policies that are currently active and in effect for a specific policyholder. The value represents only policies with valid coverage status and excludes any cancelled or expired policies.","This type counts the total number of insurance policies that are currently active and in effect for a specific policyholder. The value represents only policies with valid coverage status and excludes any cancelled or expired policies.","A positive integer following the pattern ^[1-9]\d*$ indicating the count of active policies currently held by the customer.","active_policy_count: number of current policies","active_policy_count: number of current policies",1; 2; 4 ,-1; 4.5; 40,policies_count ; total_policies_held,max_policies ; active_customers
Max_policies,"The highest number of insurance policies that a customer has ever held simultaneously throughout their relationship history.","This type tracks the peak count of concurrent policies maintained by a customer at any single point during their entire tenure. The metric helps assess customer engagement and portfolio complexity over time.","This type tracks the peak count of concurrent policies maintained by a customer at any single point during their entire tenure. The metric helps assess customer engagement and portfolio complexity over time.","A positive integer matching ^[1-9]\d*$ representing the maximum number of policies ever held concurrently by the customer.","peak_policy_total: highest policies held together","peak_policy_total: highest policies held together",1; 2; 4 ,-1; 4.5; 40,max_policies_inforce ; peak_policy_count,min_policies ; average_policies
Max_products,"The maximum number of different insurance product types that a customer has held concurrently during their relationship.","This type measures the peak diversity of insurance products simultaneously maintained by a customer across their entire history. The count includes different product categories such as auto, home, life, or other insurance types offered by the company.","This type measures the peak diversity of insurance products simultaneously maintained by a customer across their entire history. The count includes different product categories such as auto, home, life, or other insurance types offered by the company.","A positive integer conforming to ^[1-9]\d*$ indicating the maximum variety of product types ever held at once.","product_variety_peak: most product types together","product_variety_peak: most product types together",1; 2; 4 ,-1; 4.5; 40,max_products_held ; peak_product_count,product_id ; total_products_sold
Lapse,"The total count of insurance policies that have been terminated or cancelled by a customer throughout their history.","This type records the cumulative number of policy lapses or cancellations associated with a customer account over time. The value includes both voluntary cancellations and involuntary terminations due to non-payment or other reasons.","This type records the cumulative number of policy lapses or cancellations associated with a customer account over time. The value includes both voluntary cancellations and involuntary terminations due to non-payment or other reasons.","A non-negative integer matching ^[0-9]\d*$ representing the total count of policies that have lapsed for this customer.","cancelled_policy_count: total policies ended early","cancelled_policy_count: total policies ended early",0; 1; 4,-1; 4.5; 40,lapse_count ; policies_lapsed,lapse_date ; cancellation_reason
Date_lapse,"The specific date when an insurance policy was terminated or cancelled before its scheduled expiration.","This type captures the exact termination date of a lapsed insurance policy in standard date format. The date marks when coverage officially ended and the policy became inactive in the system.","This type captures the exact termination date of a lapsed insurance policy in standard date format. The date marks when coverage officially ended and the policy became inactive in the system.","A termination date string following patterns like ^\d{1,2}/\d{1,2}/\d{4}(\s\d{1,2}:\d{2}:\d{2})?$ marking when the policy was cancelled.","cancellation_date: when policy was terminated","cancellation_date: when policy was terminated",4/11/2023 16:29:14; 2023-05-11; 11:29:14 2000-05-01; 4/11/2023,Wednesday; January; 1,lapse_date ; termination_date,renewal_date ; effective_date
Payment,"A binary indicator showing whether premium payments are current and up-to-date for the insurance policy.","This type represents the payment status of an insurance policy using a numeric flag system. The value indicates whether the policyholder has met their premium payment obligations or has outstanding payment issues.","This type represents the payment status of an insurance policy using a numeric flag system. The value indicates whether the policyholder has met their premium payment obligations or has outstanding payment issues.","A binary integer matching the pattern ^[01]$ where values represent different payment states such as current or delinquent status.","premium_status: whether payments are current","premium_status: whether payments are current",0; 1 ,Monday; Apple; Transaction ,payment_frequency ; payment_method_code,amount_paid ; payment_date
Premium,"The monetary amount charged for insurance coverage over a specified period, typically annually.","This type captures the premium cost associated with an insurance policy expressed as a decimal or whole number currency value. The amount represents the total price charged to the policyholder for their coverage benefits and services.","This type captures the premium cost associated with an insurance policy expressed as a decimal or whole number currency value. The amount represents the total price charged to the policyholder for their coverage benefits and services.","A numeric value following the pattern ^\d+(\.\d+)?$ representing monetary amounts in the policy's base currency.","coverage_cost: amount charged for insurance","coverage_cost: amount charged for insurance",124.2; 15.5; 12421,-1; -124; Day ,net_premium_amount ; premium_yearly,gross_premium ; premium_rate
