Type,Generation Description 1,Generation Description 2,Generation Description 3,Generation Description 4,Generation Description 5,Positive Value Examples,Negative Value Examples,Positive Header Examples,Negative Header Examples
Avg Monthly GB Download,"A data usage metric representing the average amount of data downloaded by a customer per month, measured in gigabytes.","This type captures the monthly average of data consumption for download activities by telecommunications customers. The values represent gigabytes as positive numeric values indicating data transfer volume.","This type captures the monthly average of data consumption for download activities by telecommunications customers. The values represent gigabytes as positive numeric values indicating data transfer volume.","This type captures numeric values representing monthly data download averages measured in gigabytes, following the pattern of positive decimal numbers. The pattern matches values like positive integers or decimals representing data volume.","data usage: monthly download volume in GB",1; 24; 100,-1; 0; 5.5 ,Average Monthly Download (GB); Monthly Data Usage (GB),Total GB Downloaded; Annual Download Volume (GB)
Avg Monthly Long Distance Charges,"The average monthly billing amount for long-distance telecommunications charges incurred by a customer.","This type represents the monthly average cost charged to customers for long-distance calling services. Values are monetary amounts expressed as positive decimal numbers in the billing currency.","This type represents the monthly average cost charged to customers for long-distance calling services. Values are monetary amounts expressed as positive decimal numbers in the billing currency.","This type contains decimal values representing monthly long-distance charges, matching the pattern of positive currency amounts. The pattern follows standard monetary formatting with decimal precision for billing amounts.","billing amount: average long-distance call charges per month",4; 6.7; 45.4,-1; 0; None,Avg. Monthly LD Charges;Monthly Long‑Distance Cost ($),Total Call Charges;International Call Fees
Churn,"A binary indicator showing whether a customer has discontinued their service subscription.","This type represents customer retention status using binary values where the data indicates service discontinuation. Values are restricted to binary indicators representing active or churned customer states.","This type represents customer retention status using binary values where the data indicates service discontinuation. Values are restricted to binary indicators representing active or churned customer states.","This type contains binary values following the pattern ^[01]$ representing customer churn status. The pattern matches single digits where 0 typically indicates retained and 1 indicates churned customers.","retention status: customer left service indicator",0; 1 ,-1; 2; None,Churn Flag;Customer Churned,Cancellation Reason;Join Date
Churn Category,"A classification label indicating the primary reason category for customer service discontinuation.","This type captures categorical labels that group customer churn reasons into broad classification buckets. Values are predefined category names that represent different types of churn motivations.","This type captures categorical labels that group customer churn reasons into broad classification buckets. Values are predefined category names that represent different types of churn motivations.","This type contains categorical text values representing churn classification types, following predefined category patterns. The pattern matches specific category labels used for grouping churn reasons into business-relevant classifications.","churn type: main reason category for leaving","Other, Competitor, Attitude",12.3; None; Monday ,Churn Type;Churn Category,Customer Segment;Service Category
Churn Reason,"A detailed explanation of the specific reason why a customer discontinued their service subscription.","This type contains descriptive text explaining the particular circumstances or motivations behind customer service termination. Values are free-form textual descriptions providing specific context for churn events.","This type contains descriptive text explaining the particular circumstances or motivations behind customer service termination. Values are free-form textual descriptions providing specific context for churn events.","This type contains textual descriptions of churn motivations, following free-text patterns for customer feedback. The pattern allows variable-length descriptive text explaining specific reasons for service discontinuation.","departure reason: specific explanation for cancellation",Attitude of support person; Don't know; Competitor made better offer,12.3; TwentyTwo; Monday ,Reason for Leaving;Churn Explanation,Cancellation Date;Feedback Comments
Churn Score,"A numerical score predicting the likelihood of a customer discontinuing their service subscription.","This type represents predictive analytics values indicating customer churn probability on a numerical scale. Values are typically scored from low to high risk ranges using positive integer or decimal values.","This type represents predictive analytics values indicating customer churn probability on a numerical scale. Values are typically scored from low to high risk ranges using positive integer or decimal values.","This type contains numeric values representing churn risk scores, following patterns of positive integers within defined scoring ranges. The pattern matches numerical scores used for predictive customer churn modeling.","risk score: probability of customer leaving",1; 8; 100,-1; 101; High,Churn Risk Score;Predicted Churn Score,Customer Score;Retention Probability
CLTV,"The projected total revenue value that a customer will generate over their entire relationship lifecycle.","This type represents customer lifetime value calculations expressed as monetary amounts in the business currency. Values are positive decimal numbers indicating projected revenue contribution from individual customers.","This type represents customer lifetime value calculations expressed as monetary amounts in the business currency. Values are positive decimal numbers indicating projected revenue contribution from individual customers.","This type contains decimal monetary values representing customer lifetime value calculations, following currency formatting patterns. The pattern matches positive decimal numbers with comma or period decimal separators for financial amounts.","customer value: total projected lifetime revenue","124,4; 214,2; 128",-1; -1.2; High,Customer Lifetime Value ($);Predicted CLTV,Total Revenue;Account Value
Contract,"The type of service agreement defining the duration and terms of the customer's subscription commitment.","This type captures contract duration categories that specify customer commitment periods for telecommunications services. Values are predefined terms describing subscription length arrangements and billing cycles.","This type captures contract duration categories that specify customer commitment periods for telecommunications services. Values are predefined terms describing subscription length arrangements and billing cycles.","This type contains categorical text values representing contract duration types, following standardized service agreement patterns. The pattern matches predefined contract terms used for customer subscription classifications.","service agreement: subscription commitment duration",Month-to-Month; One Year; Two Year ,1; 8; 100,Contract Term;Service Contract,Billing Period;Subscription Type
Customer ID,"A unique alphanumeric identifier assigned to each customer for account tracking and identification purposes.","This type represents distinct customer identification codes used for account management and service tracking. Values follow specific formatting patterns combining letters and numbers to ensure unique customer identification.","This type represents distinct customer identification codes used for account management and service tracking. Values follow specific formatting patterns combining letters and numbers to ensure unique customer identification.","This type contains alphanumeric customer identifiers following the pattern \d{4}-\w{5}, consisting of four digits, a hyphen, and five alphanumeric characters. The pattern ensures unique customer identification codes for telecommunications account management.","account identifier: unique customer tracking number",1092-KPDFW; 7030-DFEAP; 9874-DFAEQ,DAFDF; 124; ADF1242,Subscriber ID;CustID,Order ID;Product ID
Customer Status,"A categorical label indicating the current state of a customer's relationship with the telecommunications service provider.","This type captures customer lifecycle status using predefined categorical values that represent relationship phases. Values indicate whether customers are active, new, or have terminated their service relationships.","This type captures customer lifecycle status using predefined categorical values that represent relationship phases. Values indicate whether customers are active, new, or have terminated their service relationships.","This type contains categorical status labels representing customer relationship states, following predefined lifecycle terminology patterns. The pattern matches specific status terms used for customer relationship management classifications.","relationship status: current customer lifecycle stage",Stayed; Joined; Churned,0; 1; -1 ,Customer Status;Active/Churn Status,Invoice Status;Payment Status
Dependents,"The number of family members or individuals financially dependent on the primary account holder.","This type represents household dependency counts expressed as non-negative integer values. Values indicate the total number of dependents associated with the primary customer account for demographic analysis.","This type represents household dependency counts expressed as non-negative integer values. Values indicate the total number of dependents associated with the primary customer account for demographic analysis.","This type contains integer values representing dependent counts, following the pattern ^\d+$ for non-negative whole numbers. The pattern matches count values used for household demographic classification and service planning.","family size: number of household dependents",0; 1; 5,-1; None; AB,Dependent Count;Number of Dependents,Dependents Names;Family Members
